experiment,variant,variant_label,delay_label,x_value,act_min,act_max,obs_min,obs_max,seed,episode,episode_steps,episode_return,mean_distance,final_distance,min_distance,success,ever_success
state_constant,unseen,Unseen delay,"(5,5)",5.0,5,5,5,5,1,1,85,-54.51135490834713,0.6608462268815322,0.3321148753166199,0.11148320883512497,0.0,0.0
state_constant,unseen,Unseen delay,"(5,5)",5.0,5,5,5,5,1,2,85,-58.47954321652651,0.699464239180088,0.19498342275619507,0.05030123144388199,0.0,1.0
state_constant,augmented_action,Augmented (+action buffer),"(5,5)",5.0,5,5,5,5,0,0,85,-38.60651342070196,0.45581341829178307,0.02752542681992054,0.0011399301001802087,1.0,1.0
state_constant,augmented_action,Augmented (+action buffer),"(5,5)",5.0,5,5,5,5,0,1,85,-33.978747211396694,0.4014713048496667,0.029262740164995193,0.004376069642603397,1.0,1.0
state_constant,augmented_action,Augmented (+action buffer),"(5,5)",5.0,5,5,5,5,0,2,85,-35.19231933238916,0.4152263626538436,0.020384298637509346,0.0021580879110842943,1.0,1.0
state_constant,augmented_action,Augmented (+action buffer),"(5,5)",5.0,5,5,5,5,1,0,85,-33.978747211396694,0.4014713048496667,0.029262740164995193,0.004376069642603397,1.0,1.0
state_constant,augmented_action,Augmented (+action buffer),"(5,5)",5.0,5,5,5,5,1,1,85,-35.19231933238916,0.4152263626538436,0.020384298637509346,0.0021580879110842943,1.0,1.0
state_constant,augmented_action,Augmented (+action buffer),"(5,5)",5.0,5,5,5,5,1,2,85,-41.63543218979612,0.49092941175160165,0.018713561818003654,0.002461389172822237,1.0,1.0
state_constant,augmented_action_delay,Augmented (+action buffer + delay values),"(5,5)",5.0,5,5,5,5,0,0,85,-38.60651342070196,0.45581341829178307,0.02752542681992054,0.0011399301001802087,1.0,1.0
state_constant,augmented_action_delay,Augmented (+action buffer + delay values),"(5,5)",5.0,5,5,5,5,0,1,85,-33.978747211396694,0.4014713048496667,0.029262740164995193,0.004376069642603397,1.0,1.0
state_constant,augmented_action_delay,Augmented (+action buffer + delay values),"(5,5)",5.0,5,5,5,5,0,2,85,-35.19231933238916,0.4152263626538436,0.020384298637509346,0.0021580879110842943,1.0,1.0
state_constant,augmented_action_delay,Augmented (+action buffer + delay values),"(5,5)",5.0,5,5,5,5,1,0,85,-33.978747211396694,0.4014713048496667,0.029262740164995193,0.004376069642603397,1.0,1.0
state_constant,augmented_action_delay,Augmented (+action buffer + delay values),"(5,5)",5.0,5,5,5,5,1,1,85,-35.19231933238916,0.4152263626538436,0.020384298637509346,0.0021580879110842943,1.0,1.0
state_constant,augmented_action_delay,Augmented (+action buffer + delay values),"(5,5)",5.0,5,5,5,5,1,2,85,-41.63543218979612,0.49092941175160165,0.018713561818003654,0.002461389172822237,1.0,1.0
state_stochastic,unseen,Unseen delay,"(0,0-5)",5.0,0,0,0,5,0,0,82,-26.68794563319534,0.32601757114753127,0.022747600451111794,0.001189561327919364,1.0,1.0
state_stochastic,unseen,Unseen delay,"(0,0-5)",5.0,0,0,0,5,0,1,80,-22.25069717434235,0.2781337146792794,0.016803622245788574,0.00097036047372967,1.0,1.0
state_stochastic,unseen,Unseen delay,"(0,0-5)",5.0,0,0,0,5,0,2,81,-23.956346201943234,0.2959930277630733,0.019089046865701675,0.002157547976821661,1.0,1.0
state_stochastic,unseen,Unseen delay,"(0,0-5)",5.0,0,0,0,5,1,0,83,-22.6878584313381,0.2739487869005106,0.016630293801426888,0.00043555579031817615,1.0,1.0
state_stochastic,unseen,Unseen delay,"(0,0-5)",5.0,0,0,0,5,1,1,81,-24.1044190954417,0.29790954708041234,0.026254218071699142,0.0030668331310153008,1.0,1.0
state_stochastic,unseen,Unseen delay,"(0,0-5)",5.0,0,0,0,5,1,2,83,-28.90859589050524,0.34860974208855755,0.008670900948345661,0.0013388239312916994,1.0,1.0
state_stochastic,augmented_action,Augmented (+action buffer),"(0,0-5)",5.0,0,0,0,5,0,0,82,-28.223931728163734,0.34474175753037833,0.022446194663643837,0.0019069931004196405,1.0,1.0
state_stochastic,augmented_action,Augmented (+action buffer),"(0,0-5)",5.0,0,0,0,5,0,1,80,-23.488367358921096,0.2936045919865137,0.0192718505859375,0.0008687817025929689,1.0,1.0
state_stochastic,augmented_action,Augmented (+action buffer),"(0,0-5)",5.0,0,0,0,5,0,2,81,-24.712589096627198,0.3053223237346421,0.018519125878810883,0.0009294684277847409,1.0,1.0
state_stochastic,augmented_action,Augmented (+action buffer),"(0,0-5)",5.0,0,0,0,5,1,0,83,-23.89313402515836,0.28858608415024917,0.01983698643743992,0.0007417888846248388,1.0,1.0
state_stochastic,augmented_action,Augmented (+action buffer),"(0,0-5)",5.0,0,0,0,5,1,1,81,-25.55356500390917,0.3157719753245697,0.02396499738097191,0.005474609322845936,1.0,1.0
state_stochastic,augmented_action,Augmented (+action buffer),"(0,0-5)",5.0,0,0,0,5,1,2,83,-30.40573116298765,0.366635197582823,0.008330078795552254,0.006161751691251993,1.0,1.0
state_stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-5)",5.0,0,0,0,5,0,0,82,-28.850321042817086,0.3523901854017068,0.0228370800614357,0.0036535304971039295,1.0,1.0
state_stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-5)",5.0,0,0,0,5,0,1,80,-24.97989941155538,0.31224874264444225,0.020451463758945465,0.004668194800615311,1.0,1.0
state_stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-5)",5.0,0,0,0,5,0,2,81,-26.0422692024149,0.32173248659244474,0.018062211573123932,0.005554135888814926,1.0,1.0
state_stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-5)",5.0,0,0,0,5,1,0,83,-24.88436435814947,0.3006050202389618,0.021950773894786835,0.003073173575103283,1.0,1.0
state_stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-5)",5.0,0,0,0,5,1,1,81,-25.91722426051274,0.32023224053490495,0.021587222814559937,0.005237887147814035,1.0,1.0
state_stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-5)",5.0,0,0,0,5,1,2,83,-31.04203464090824,0.3743182481210454,0.008793317712843418,0.007834388874471188,1.0,1.0
